ID_Institution,Nom Institution
460,PARKLAND COLLEGE
461,SOUTHERN ILLINOIS UNIVERSITY SCHOOL OF MEDICINE
462,LINCOLN LAND COMMUNITY COLLEGE
463,CHICAGO STATE UNIVERSITY
464,CITY COLLEGES OF CHICAGO-HAROLD WASHINGTON COLLEGE
465,PRINCIPIA COLLEGE
466,MORAINE VALLEY COMMUNITY COLLEGE
467,COLLEGE OF LAKE COUNTY
468,ROCKFORD COLLEGE
469,GREENVILLE COLLEGE
470,AURORA UNIVERSITY
471,SPERTUS COLLEGE
472,ROBERT MORRIS UNIVERSITY ILLINOIS
473,OLIVET NAZARENE UNIVERSITY
474,SAINT XAVIER UNIVERSITY
475,SOUTHERN ILLINOIS UNIVERSITY AT CARBONDALE
476,UNIVERSITY OF ILLINOIS AT SPRINGFIELD
477,UNIVERSITY OF ST FRANCIS
478,WESTERN ILLINOIS UNIVERSITY
479,SOUTHWESTERN ILLINOIS COLLEGE
480,ILLINOIS COLLEGE
481,SAINT MEINRAD SCHOOL OF THEOLOGY
482,INDIANA UNIVERSITY-KOKOMO
483,INDIANA UNIVERSITY-NORTHWEST
484,PURDUE UNIVERSITY
485,BALL STATE UNIVERSITY
486,PURDUE UNIVERSITY-CALUMET CAMPUS
487,VALPARAISO UNIVERSITY
488,EARLHAM COLLEGE
489,DEPAUW UNIVERSITY
490,INDIANA UNIVERSITY
491,INDIANA INSTITUTE OF TECHNOLOGY
492,INDIANA UNIVERSITY-EAST
493,MANCHESTER UNIVERSITY
494,GOSHEN COLLEGE
495,UNIVERSITY OF NOTRE DAME
496,HANOVER COLLEGE
497,ANDERSON UNIVERSITY
498,BUTLER UNIVERSITY
499,HUNTINGTON UNIVERSITY
500,OAKLAND CITY UNIVERSITY
501,FRANKLIN COLLEGE
502,TRINE UNIVERSITY
503,SAINT JOSEPHS COLLEGE
504,TAYLOR UNIVERSITY
505,SAINT MARY'S COLLEGE
506,UNIVERSITY OF SOUTHERN INDIANA
507,INDIANA UNIVERSITY-SOUTHEAST
508,SAINT MARY-OF-THE-WOODS COLLEGE
509,INDIANA STATE UNIVERSITY
510,HOLY CROSS COLLEGE
511,INDIANA UNIVERSITY-PURDUE UNIVERSITY-FORT WAYNE
512,WABASH COLLEGE
513,UNIVERSITY OF CONNECTICUT AT STAMFORD
514,BETHANY COLLEGE
515,UNIVERSITY OF KANSAS
516,WASHBURN UNIVERSITY
517,PRATT COMMUNITY COLLEGE
