ID_Finance,Tax_Period,Chiffre_Affaires,Benefice,RefEmployer
8318,2013-12-30,16019,16019,311043155
8319,NULL,NULL,NULL,310883889
8320,2014-12-30,0,0,237428486
8321,2013-12-30,10000,10000,261332158
8322,2013-06-30,348872975,347846823,611029626
8323,2013-12-30,128672,122823,610947643
8324,2013-12-30,0,0,205562197
8325,2014-05-30,NULL,NULL,610444768
8326,2014-06-30,42022359,38372433,610444780
8327,2013-12-30,0,0,310954167
8328,2014-06-30,3294463,3279575,611229037
8329,2013-12-30,13844,NULL,201680864
8330,NULL,NULL,NULL,610600439
8331,2014-12-30,0,0,273212467
8332,2013-09-30,61555878,14269379,610444823
8333,2014-06-30,99370,99370,611091577
8334,2014-12-30,0,0,262772596
8335,2014-12-30,0,0,264012372
8336,2014-12-30,0,0,611308708
8337,2013-12-30,0,0,460766565
8338,2014-12-30,0,0,50582505
8339,2013-12-30,0,0,272670318
8340,2014-06-30,108604530,99527138,610444671
8341,2014-07-30,NULL,NULL,610500919
8342,2013-12-30,281634,NULL,562408959
8343,2013-08-30,0,0,310975331
8344,2013-12-30,0,0,204147602
8345,2014-12-30,0,0,264534822
8346,2013-12-30,82478,NULL,611205440
8347,NULL,NULL,NULL,611248594
8348,2013-12-30,262937,208028,611191921
8349,2013-09-30,10141277,NULL,311023459
8350,NULL,NULL,NULL,270274293
8351,2013-12-30,276197,226486,20661784
8352,NULL,NULL,NULL,611273732
8353,2014-06-30,1753004,1484104,611204590
8354,NULL,NULL,NULL,616033754
8355,2014-06-30,14997926,14997926,611358086
8356,2014-12-30,0,0,900715102
8357,2014-06-30,313249,289093,237002838
8358,2014-06-30,2040618,1611368,610985312
8359,NULL,NULL,NULL,611388901
8360,2014-12-30,0,0,611196366
8361,2013-06-30,0,0,272134294
8362,2013-12-30,1216348,1153609,616031095
8363,2013-12-30,0,0,352225736
8364,2013-12-30,317894,317894,611237279
8365,2013-12-30,0,0,237430752
8366,2014-12-30,0,0,421692511
8367,NULL,NULL,NULL,311551499
8368,2013-12-30,0,0,611129192
8369,2013-12-30,0,0,271713328
8370,NULL,NULL,NULL,616001218
8371,2013-12-30,211359,153857,611229424
8372,2013-12-30,375870,346975,371430589
8373,2013-12-30,0,0,611386993
8374,2014-12-30,0,0,260259423
8375,2014-12-30,0,0,311134045
8376,2012-12-30,0,0,611389805
8377,2014-12-30,0,0,320324803
8378,2014-08-30,141946,134592,237277318
8379,2014-12-30,0,0,611219280
8380,2013-12-30,0,0,43778796
8381,2013-12-30,0,0,611126282
8382,2014-06-30,0,0,611306154
8383,2013-12-30,36935,36935,611342561
8384,2013-12-30,0,0,201426143
8385,2014-03-30,613690,384657,610469278
8386,2014-12-30,0,0,611352323
8387,2014-06-30,151767,108916,611141038
8388,2014-06-30,59695,57713,610961553
8389,2014-06-30,1880027,1834731,610675663
8390,2013-12-30,0,0,611128461
8391,NULL,NULL,NULL,611221765
8392,2012-12-30,NULL,NULL,616019374
8393,2013-12-30,0,0,453609269
8394,2014-06-30,0,0,610944379
8395,2013-12-30,0,0,310896691
8396,2013-12-30,149151,149151,616036081
8397,2014-06-30,4976294,3894910,311005850
8398,2014-05-30,686505,665683,610492348
8399,2013-06-30,421133,421133,310971742
8400,2014-06-30,62343293,62343293,610444763
8401,2013-12-30,0,0,273454968
8402,2014-12-30,0,0,311040224
8403,2013-06-30,4318,4318,237419856
8404,2014-12-30,76804,76804,237120540
8405,2013-12-30,0,0,611318540
8406,2012-12-30,1256,NULL,610974747
8407,2013-12-30,369081,NULL,610444776
8408,NULL,NULL,NULL,611206133
8409,2014-12-30,0,0,611260980
8410,2013-12-30,1058444,999150,611136227
8411,2014-06-30,90520,73242,611147962
8412,2014-05-30,117500086,117215560,610482955
8413,2013-12-30,0,0,611366901
8414,2013-06-30,0,0,274499407
8415,NULL,NULL,NULL,611352456
8416,NULL,NULL,NULL,611107299
8417,2013-12-30,18866,18866,200678466
8418,2014-06-30,0,0,611342660
8419,2013-12-30,212603,196910,611222472
8420,2014-12-30,0,0,611264204
8421,2014-12-30,0,0,43792281
8422,2014-06-30,50785267,64763636,610444825
8423,2014-12-30,33217,21955,611040536
8424,2013-12-30,0,0,611272519
8425,2014-05-30,0,0,611147280
8426,2013-12-30,3646079,3267949,611323046
8427,NULL,NULL,NULL,611010545
8428,2013-12-30,1,NULL,205513422
8429,2014-09-30,47389161,21788163,610444640
8430,2014-06-30,1295192,1062886,611193387
8431,2013-12-30,0,0,202380273
8432,2014-06-30,0,0,611211223
8433,NULL,NULL,NULL,61654425
8434,2014-12-30,152532,NULL,611370806
8435,2012-06-30,0,0,311121383
8436,2013-12-30,15096820,10536091,742519972
8437,NULL,NULL,NULL,311027971
8438,2013-12-30,0,0,203163607
8439,2014-12-30,0,0,611290697
8440,NULL,NULL,NULL,453115194
8441,2013-12-30,0,0,900217030
8442,2013-12-30,38859,38859,610861782
8443,2013-12-30,0,0,275236502
8444,2013-12-30,0,0,300014659
8445,2014-12-30,0,0,510161825
8446,2013-12-30,424304,263491,611195581
8447,2014-06-30,415756,415756,611325527
8448,2014-12-30,0,0,616031833
8449,2013-06-30,1115335,1099883,611164857
8450,2014-06-30,424600,424600,310896672
8451,2014-12-30,0,0,113684760
8452,2014-12-30,0,0,611319564
8453,NULL,NULL,NULL,611166271
8454,2014-12-30,0,0,611375500
8455,2014-06-30,56362,48012,611221010
8456,2013-12-30,53711,53711,270588699
8457,2013-12-30,0,0,205782195
8458,2013-12-30,57423,57423,300052032
8459,2013-06-30,NULL,NULL,610469267
8460,2014-12-30,0,0,10837542
8461,NULL,NULL,NULL,263952092
8462,2013-12-30,0,0,611217389
8463,2014-12-30,0,0,271717176
8464,2014-12-30,95244,95017,311036389
8465,2014-12-30,0,0,540847132
8466,2014-12-30,0,0,610917188
8467,2013-06-30,91672,91030,237422794
8468,2014-12-30,0,0,261712389
8469,2013-12-30,184352,165851,311665931
8470,NULL,NULL,NULL,611131480
8471,2012-12-30,0,0,753241510
8472,2014-12-30,0,0,611038009
8473,2014-12-30,0,0,311105633
8474,2014-06-30,317215,274484,611315396
8475,NULL,NULL,NULL,611141651
8476,2013-12-30,0,0,50583655
8477,2014-12-30,0,0,200927599
8478,2014-12-30,0,0,611150382
8479,2013-12-30,87190,36019,800740234
8480,2013-12-30,527200,NULL,610921414
8481,2014-06-30,0,0,611327780
8482,2013-12-30,91494,91494,261746310
8483,2013-12-30,324006,245241,237173327
8484,2014-12-30,0,0,611088639
8485,2013-12-30,2043359,140138,611034069
8486,2013-12-30,0,0,272985576
8487,2014-03-30,0,0,611218956
8488,2013-12-30,228842,205526,611138330
8489,2014-08-30,61661,NULL,616030889
8490,2013-12-30,13212,13212,611391712
8491,2014-12-30,0,0,611135319
8492,2013-12-30,0,0,237215413
8493,NULL,NULL,NULL,462664330
8494,2014-12-30,0,0,300003193
8495,NULL,NULL,NULL,310940276
8496,2012-12-30,0,0,571180401
8497,2014-06-30,12414,12414,611349331
8498,2014-12-30,0,0,311085159
